\,省份,year,能源消费结构（煤炭占比）
1,北京,2003,0.429325626
2,天津,2003,0.35780267
3,河北,2003,0.733769755
4,山西,2003,0.802312412
5,内蒙古,2003,0.694737681
6,辽宁,2003,0.532674849
7,吉林,2003,0.523261465
8,黑龙江,2003,0.302126263
9,上海,2003,0.29955725
10,江苏,2003,0.392597207
11,浙江,2003,0.327659527
12,安徽,2003,0.731663491
13,福建,2003,0.395738766
14,江西,2003,0.543917266
15,山东,2003,0.507124299
16,河南,2003,0.589632463
17,湖北,2003,0.62024452
18,湖南,2003,0.621362246
19,广东,2003,0.280096214
20,广西,2003,0.524346309
21,海南,2003,0.380464397
22,重庆,2003,0.568594632
23,四川,2003,0.540187802
24,贵州,2003,0.731291252
25,云南,2003,0.639163623
26,陕西,2003,0.459256582
27,甘肃,2003,0.49682177
28,青海,2003,0.374071613
29,宁夏,2003,0.676807042
30,新疆,2003,0.3888224
1,北京,2004,0.383128412
2,天津,2004,0.39358571
3,河北,2004,0.730520454
4,山西,2004,0.777633924
5,内蒙古,2004,0.683392595
6,辽宁,2004,0.493560946
7,吉林,2004,0.525981145
8,黑龙江,2004,0.290903109
9,上海,2004,0.277481631
10,江苏,2004,0.445599413
11,浙江,2004,0.367252791
12,安徽,2004,0.688941336
13,福建,2004,0.382957882
14,江西,2004,0.588351226
15,山东,2004,0.501979329
16,河南,2004,0.597467576
17,湖北,2004,0.616189102
18,湖南,2004,0.589894987
19,广东,2004,0.234022763
20,广西,2004,0.516578597
21,海南,2004,0.255597244
22,重庆,2004,0.512900213
23,四川,2004,0.535992939
24,贵州,2004,0.754988017
25,云南,2004,0.651065899
26,陕西,2004,0.455270761
27,甘肃,2004,0.487273265
28,青海,2004,0.33908238
29,宁夏,2004,0.386384927
30,新疆,2004,0.392057294
1,北京,2005,0.357193817
2,天津,2005,0.37844433
3,河北,2005,0.729100979
4,山西,2005,0.752760098
5,内蒙古,2005,0.642749308
6,辽宁,2005,0.480653199
7,吉林,2005,0.514517584
8,黑龙江,2005,0.321501388
9,上海,2005,0.260858674
10,江苏,2005,0.462567964
11,浙江,2005,0.339670872
12,安徽,2005,0.320523192
13,福建,2005,0.491403664
14,江西,2005,0.571792222
15,山东,2005,0.525528786
16,河南,2005,0.655257966
17,湖北,2005,0.578772681
18,湖南,2005,0.683724767
19,广东,2005,0.222262823
20,广西,2005,0.567950297
21,海南,2005,0.27308819
22,重庆,2005,0.501590979
23,四川,2005,0.476919915
24,贵州,2005,0.760055503
25,云南,2005,0.664238492
26,陕西,2005,0.585968151
27,甘肃,2005,0.494370618
28,青海,2005,0.318912914
29,宁夏,2005,0.57408827
30,新疆,2005,0.355231572
1,北京,2006,0.331905329
2,天津,2006,0.406008912
3,河北,2006,0.726499965
4,山西,2006,0.733293156
5,内蒙古,2006,0.568730281
6,辽宁,2006,0.488525899
7,吉林,2006,0.537409312
8,黑龙江,2006,0.326723757
9,上海,2006,0.226718703
10,江苏,2006,0.451163223
11,浙江,2006,0.316998092
12,安徽,2006,0.653101816
13,福建,2006,0.486633792
14,江西,2006,0.592024726
15,山东,2006,0.507932598
16,河南,2006,0.667673712
17,湖北,2006,0.549187696
18,湖南,2006,0.666070771
19,广东,2006,0.232331711
20,广西,2006,0.58080627
21,海南,2006,0.098417463
22,重庆,2006,0.471942969
23,四川,2006,0.464217795
24,贵州,2006,0.747555156
25,云南,2006,0.6511404
26,陕西,2006,0.546320903
27,甘肃,2006,0.487113999
28,青海,2006,0.356441833
29,宁夏,2006,0.515049085
30,新疆,2006,0.355577868
1,北京,2007,0.305829161
2,天津,2007,0.4065014
3,河北,2007,0.711760711
4,山西,2007,0.706903206
5,内蒙古,2007,0.514270721
6,辽宁,2007,0.511006883
7,吉林,2007,0.502059489
8,黑龙江,2007,0.334311782
9,上海,2007,0.224150735
10,江苏,2007,0.452064272
11,浙江,2007,0.298185013
12,安徽,2007,0.650053436
13,福建,2007,0.453431419
14,江西,2007,0.625521797
15,山东,2007,0.492169924
16,河南,2007,0.646541629
17,湖北,2007,0.541789751
18,湖南,2007,0.659076499
19,广东,2007,0.237963354
20,广西,2007,0.547469998
21,海南,2007,0.092030231
22,重庆,2007,0.432345236
23,四川,2007,0.455085713
24,贵州,2007,0.685730675
25,云南,2007,0.626289648
26,陕西,2007,0.471549654
27,甘肃,2007,0.488568526
28,青海,2007,0.357621645
29,宁夏,2007,0.428137745
30,新疆,2007,0.360920272
1,北京,2008,0.243083827
2,天津,2008,0.407684673
3,河北,2008,0.724146014
4,山西,2008,0.694098238
5,内蒙古,2008,0.545392103
6,辽宁,2008,0.503408972
7,吉林,2008,0.534113432
8,黑龙江,2008,0.363758996
9,上海,2008,0.218720059
10,江苏,2008,0.455536063
11,浙江,2008,0.290903721
12,安徽,2008,0.633090324
13,福建,2008,0.459526325
14,江西,2008,0.629149674
15,山东,2008,0.506818041
16,河南,2008,0.635124162
17,湖北,2008,0.521085877
18,湖南,2008,0.630321334
19,广东,2008,0.258861342
20,广西,2008,0.539877335
21,海南,2008,0.0957939
22,重庆,2008,0.542096549
23,四川,2008,0.526444054
24,贵州,2008,0.658419127
25,云南,2008,0.626677433
26,陕西,2008,0.461139368
27,甘肃,2008,0.477416849
28,青海,2008,0.403954502
29,宁夏,2008,0.499801635
30,新疆,2008,0.384775961
1,北京,2009,0.236458043
2,天津,2009,0.42625182
3,河北,2009,0.716887263
4,山西,2009,0.689038532
5,内蒙古,2009,0.550976894
6,辽宁,2009,0.524141846
7,吉林,2009,0.550306855
8,黑龙江,2009,0.319792458
9,上海,2009,0.210268312
10,江苏,2009,0.441562236
11,浙江,2009,0.277172824
12,安徽,2009,0.616359323
13,福建,2009,0.485454674
14,江西,2009,0.643870656
15,山东,2009,0.496325512
16,河南,2009,0.640264481
17,湖北,2009,0.533869443
18,湖南,2009,0.600590485
19,广东,2009,0.253623209
20,广西,2009,0.566231629
21,海南,2009,0.128766723
22,重庆,2009,0.555844952
23,四川,2009,0.518324906
24,贵州,2009,0.671401323
25,云南,2009,0.631595817
26,陕西,2009,0.50006817
27,甘肃,2009,0.459137985
28,青海,2009,0.419056789
29,宁夏,2009,0.50288134
30,新疆,2009,0.44240751
1,北京,2010,0.216621924
2,天津,2010,0.312832226
3,河北,2010,0.683047865
4,山西,2010,0.653734939
5,内蒙古,2010,0.487158576
6,辽宁,2010,0.465030323
7,吉林,2010,0.549581324
8,黑龙江,2010,0.2789276
9,上海,2010,0.213930942
10,江苏,2010,0.407524748
11,浙江,2010,0.246575636
12,安徽,2010,0.627109383
13,福建,2010,0.432301082
14,江西,2010,0.554033118
15,山东,2010,0.496289788
16,河南,2010,0.622245147
17,湖北,2010,0.614911543
18,湖南,2010,0.519489505
19,广东,2010,0.254363837
20,广西,2010,0.499041258
21,海南,2010,0.10869925
22,重庆,2010,0.530014381
23,四川,2010,0.507004077
24,贵州,2010,0.685319922
25,云南,2010,0.585931843
26,陕西,2010,0.482795749
27,甘肃,2010,0.474917478
28,青海,2010,0.32840324
29,宁夏,2010,0.48098222
30,新疆,2010,0.420234854
1,北京,2011,0.163670914
2,天津,2011,0.307471475
3,河北,2011,0.670205611
4,山西,2011,0.651577331
5,内蒙古,2011,0.552522483
6,辽宁,2011,0.439841786
7,吉林,2011,0.570363086
8,黑龙江,2011,0.333551133
9,上海,2011,0.219859766
10,江苏,2011,0.420146827
11,浙江,2011,0.234579677
12,安徽,2011,0.604586129
13,福建,2011,0.405176823
14,江西,2011,0.564224856
15,山东,2011,0.484863001
16,河南,2011,0.584664749
17,湖北,2011,0.626127271
18,湖南,2011,0.509646811
19,广东,2011,0.26591924
20,广西,2011,0.48209302
21,海南,2011,0.099454433
22,重庆,2011,0.514892685
23,四川,2011,0.396853182
24,贵州,2011,0.671951695
25,云南,2011,0.558718337
26,陕西,2011,0.481519301
27,甘肃,2011,0.470792303
28,青海,2011,0.300035092
29,宁夏,2011,0.480855747
30,新疆,2011,0.418780352
1,北京,2012,0.151564085
2,天津,2012,0.313912853
3,河北,2012,0.675172548
4,山西,2012,0.650056125
5,内蒙古,2012,0.527607797
6,辽宁,2012,0.428367644
7,吉林,2012,0.552263682
8,黑龙江,2012,0.381695636
9,上海,2012,0.196592644
10,江苏,2012,0.391883509
11,浙江,2012,0.225644481
12,安徽,2012,0.559627504
13,福建,2012,0.408293803
14,江西,2012,0.553641322
15,山东,2012,0.489057221
16,河南,2012,0.503508809
17,湖北,2012,0.624753675
18,湖南,2012,0.501223715
19,广东,2012,0.258777829
20,广西,2012,0.482500654
21,海南,2012,0.112548597
22,重庆,2012,0.506203627
23,四川,2012,0.438681582
24,贵州,2012,0.686766455
25,云南,2012,0.551643352
26,陕西,2012,0.486560761
27,甘肃,2012,0.477658289
28,青海,2012,0.315623599
29,宁夏,2012,0.468954927
30,新疆,2012,0.420387833
1,北京,2013,0.124681963
2,天津,2013,0.334504097
3,河北,2013,0.666429393
4,山西,2013,0.625173994
5,内蒙古,2013,0.530542601
6,辽宁,2013,0.4414795
7,吉林,2013,0.507160191
8,黑龙江,2013,0.425312519
9,上海,2013,0.180166449
10,江苏,2013,0.370264656
11,浙江,2013,0.22185738
12,安徽,2013,0.521113213
13,福建,2013,0.345865235
14,江西,2013,0.510926697
15,山东,2013,0.475166727
16,河南,2013,0.440594911
17,湖北,2013,0.504008971
18,湖南,2013,0.457248097
19,广东,2013,0.228593346
20,广西,2013,0.483164056
21,海南,2013,0.098771405
22,重庆,2013,0.414416763
23,四川,2013,0.403549598
24,贵州,2013,0.639330902
25,云南,2013,0.566218395
26,陕西,2013,0.474112325
27,甘肃,2013,0.409814248
28,青海,2013,0.312011164
29,宁夏,2013,0.477804569
30,新疆,2013,0.332209343
1,北京,2014,0.110410489
2,天津,2014,0.31911808
3,河北,2014,0.659464354
4,山西,2014,0.619601381
5,内蒙古,2014,0.514030384
6,辽宁,2014,0.43520728
7,吉林,2014,0.493513626
8,黑龙江,2014,0.406219995
9,上海,2014,0.185729294
10,江苏,2014,0.362455909
11,浙江,2014,0.223258537
12,安徽,2014,0.504370044
13,福建,2014,0.299016368
14,江西,2014,0.517722339
15,山东,2014,0.487109156
16,河南,2014,0.462251194
17,湖北,2014,0.482590991
18,湖南,2014,0.45968523
19,广东,2014,0.239200674
20,广西,2014,0.461863829
21,海南,2014,0.093037914
22,重庆,2014,0.421313228
23,四川,2014,0.374630528
24,贵州,2014,0.639385364
25,云南,2014,0.537280763
26,陕西,2014,0.468499172
27,甘肃,2014,0.417114794
28,青海,2014,0.308429215
29,宁夏,2014,0.497090101
30,新疆,2014,0.292696956
1,北京,2015,0.091198021
2,天津,2015,0.287060896
3,河北,2015,0.637128794
4,山西,2015,0.599653159
5,内蒙古,2015,0.525468789
6,辽宁,2015,0.401743008
7,吉林,2015,0.472497259
8,黑龙江,2015,0.413168103
9,上海,2015,0.167006852
10,江苏,2015,0.363231202
11,浙江,2015,0.215705747
12,安徽,2015,0.498547331
13,福建,2015,0.319726821
14,江西,2015,0.519209489
15,山东,2015,0.421046548
16,河南,2015,0.444740528
17,湖北,2015,0.47187068
18,湖南,2015,0.505183358
19,广东,2015,0.225392399
20,广西,2015,0.440744463
21,海南,2015,0.083669164
22,重庆,2015,0.402290941
23,四川,2015,0.348171234
24,贵州,2015,0.612603845
25,云南,2015,0.526132671
26,陕西,2015,0.476405922
27,甘肃,2015,0.411761663
28,青海,2015,0.323608988
29,宁夏,2015,0.520838903
30,新疆,2015,0.281911806
1,北京,2016,0.072752726
2,天津,2016,0.263520384
3,河北,2016,0.61918797
4,山西,2016,0.601326813
5,内蒙古,2016,0.525149093
6,辽宁,2016,0.37054886
7,吉林,2016,0.460291495
8,黑龙江,2016,0.433005381
9,上海,2016,0.147596607
10,江苏,2016,0.34879057
11,浙江,2016,0.185389336
12,安徽,2016,0.478037717
13,福建,2016,0.312261576
14,江西,2016,0.498235561
15,山东,2016,0.363065762
16,河南,2016,0.401763133
17,湖北,2016,0.47272682
18,湖南,2016,0.512916806
19,广东,2016,0.323120696
20,广西,2016,0.446588925
21,海南,2016,0.095146763
22,重庆,2016,0.349493658
23,四川,2016,0.301721479
24,贵州,2016,0.58697613
25,云南,2016,0.528513767
26,陕西,2016,0.447293981
27,甘肃,2016,0.397060474
28,青海,2016,0.310754568
29,宁夏,2016,0.514195705
30,新疆,2016,0.303429136
1,北京,2017,0.044144942
2,天津,2017,0.235691868
3,河北,2017,0.588564846
4,山西,2017,0.570845106
5,内蒙古,2017,0.484921791
6,辽宁,2017,0.356825877
7,吉林,2017,0.391752022
8,黑龙江,2017,0.423307433
9,上海,2017,0.123679962
10,江苏,2017,0.331560618
11,浙江,2017,0.148109777
12,安徽,2017,0.43847254
13,福建,2017,0.288372825
14,江西,2017,0.482443162
15,山东,2017,0.343575857
16,河南,2017,0.36931778
17,湖北,2017,0.460921051
18,湖南,2017,0.546988503
19,广东,2017,0.189688731
20,广西,2017,0.42386227
21,海南,2017,0.099196021
22,重庆,2017,0.346142945
23,四川,2017,0.282747027
24,贵州,2017,0.558226877
25,云南,2017,0.508493565
26,陕西,2017,0.426510518
27,甘肃,2017,0.364730401
28,青海,2017,0.242700133
29,宁夏,2017,0.558523946
30,新疆,2017,0.315357467
1,北京,2018,0.016323334
2,天津,2018,0.22606132
3,河北,2018,0.573307962
4,山西,2018,0.547796458
5,内蒙古,2018,0.492439433
6,辽宁,2018,0.349039977
7,吉林,2018,0.337867831
8,黑龙江,2018,0.378213378
9,上海,2018,0.133086962
10,江苏,2018,0.301319363
11,浙江,2018,0.127407298
12,安徽,2018,0.400115201
13,福建,2018,0.285752506
14,江西,2018,0.437386791
15,山东,2018,0.302448546
16,河南,2018,0.337963641
17,湖北,2018,0.392890652
18,湖南,2018,0.472482466
19,广东,2018,0.171627155
20,广西,2018,0.40317647
21,海南,2018,0.101810757
22,重庆,2018,0.306731459
23,四川,2018,0.294511973
24,贵州,2018,0.475500718
25,云南,2018,0.496666828
26,陕西,2018,0.397156775
27,甘肃,2018,0.319567599
28,青海,2018,0.236363451
29,宁夏,2018,0.553266134
30,新疆,2018,0.278665532
1,北京,2019,0.012138103
2,天津,2019,0.222030143
3,河北,2019,0.569807935
4,山西,2019,0.532069395
5,内蒙古,2019,0.497306803
6,辽宁,2019,0.34406616
7,吉林,2019,0.352469158
8,黑龙江,2019,0.381421588
9,上海,2019,0.133647517
10,江苏,2019,0.317285609
11,浙江,2019,0.126272216
12,安徽,2019,0.38755022
13,福建,2019,0.277830743
14,江西,2019,0.42084364
15,山东,2019,0.2999599
16,河南,2019,0.318746078
17,湖北,2019,0.365798707
18,湖南,2019,0.4520406
19,广东,2019,0.175507318
20,广西,2019,0.387088101
21,海南,2019,0.097539964
22,重庆,2019,0.28106942
23,四川,2019,0.278343432
24,贵州,2019,0.458284778
25,云南,2019,0.482101378
26,陕西,2019,0.383462433
27,甘肃,2019,0.320141132
28,青海,2019,0.239388717
29,宁夏,2019,0.539957083
30,新疆,2019,0.283628755
1,北京,2020,0.007106828
2,天津,2020,0.227009038
3,河北,2020,0.567268117
4,山西,2020,0.527564508
5,内蒙古,2020,0.48102293
6,辽宁,2020,0.343499701
7,吉林,2020,0.313483979
8,黑龙江,2020,0.323916602
9,上海,2020,0.140362444
10,江苏,2020,0.297620279
11,浙江,2020,0.109168872
12,安徽,2020,0.397628525
13,福建,2020,0.257078571
14,江西,2020,0.401682224
15,山东,2020,0.300421986
16,河南,2020,0.321645502
17,湖北,2020,0.367459523
18,湖南,2020,0.430460848
19,广东,2020,0.170920608
20,广西,2020,0.427408899
21,海南,2020,0.090213841
22,重庆,2020,0.295646433
23,四川,2020,0.257685019
24,贵州,2020,0.444335553
25,云南,2020,0.465001954
26,陕西,2020,0.401667152
27,甘肃,2020,0.30911212
28,青海,2020,0.232141539
29,宁夏,2020,0.524468853
30,新疆,2020,0.262185925
1,北京,2021,0.006822178
2,天津,2021,0.187630349
3,河北,2021,0.50799217
4,山西,2021,0.524693696
5,内蒙古,2021,0.440263551
6,辽宁,2021,0.327577125
7,吉林,2021,0.288922642
8,黑龙江,2021,0.292488381
9,上海,2021,0.129882817
10,江苏,2021,0.276667885
11,浙江,2021,0.115393079
12,安徽,2021,0.37446378
13,福建,2021,0.235925973
14,江西,2021,0.376376705
15,山东,2021,0.273702857
16,河南,2021,0.301839563
17,湖北,2021,0.352478012
18,湖南,2021,0.347814285
19,广东,2021,0.134536747
20,广西,2021,0.417705872
21,海南,2021,0.03046925
22,重庆,2021,0.248748211
23,四川,2021,0.237300561
24,贵州,2021,0.374725974
25,云南,2021,0.436443066
26,陕西,2021,0.389156042
27,甘肃,2021,0.302220278
28,青海,2021,0.239684751
29,宁夏,2021,0.52969012
30,新疆,2021,0.260371797
,北京,2022,0.00563742
,天津,2022,0.179341939
,河北,2022,0.500861981
,山西,2022,0.458715666
,内蒙古,2022,0.440982652
,辽宁,2022,0.324968647
,吉林,2022,0.281200443
,黑龙江,2022,0.272450705
,上海,2022,0.137292749
,江苏,2022,0.273866865
,浙江,2022,0.048045253
,安徽,2022,0.347723179
,福建,2022,0.228586603
,江西,2022,0.364149352
,山东,2022,0.249304028
,河南,2022,0.288330191
,湖北,2022,0.378192112
,湖南,2022,0.338784226
,广东,2022,0.139179266
,广西,2022,0.413479646
,海南,2022,0.079269524
,重庆,2022,0.240925916
,四川,2022,0.204858096
,贵州,2022,0.338654643
,云南,2022,0.402316736
,陕西,2022,0.378796713
,甘肃,2022,0.292894503
,青海,2022,0.23061086
,宁夏,2022,0.513603623
,新疆,2022,0.249264619