数据库：分省年度数据,,,,,,,,,,,,,,,,,,,,,,,,
指标：第二产业增加值(亿元),,,,,,,,,,,,,,,,,,,,,,,,
时间：2000-2023,,,,,,,,,,,,,,,,,,,,,,,,
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
北京市,6893.8,6960.4,7732.2,5899.8,5812.9,5477.4,5049.4,4665.8,4419.8,4433,4168.3,3856,3563.3,3233.1,2736.4,2526.7,2413.4,2072.1,1907.4,1773.7,1456.4,1235.1,1127.2,1023.7
天津市,6080.6,6092.7,5780.5,4966.6,5016.9,4835.3,4564.1,4368,4489.6,4615.5,4407.1,4134,3756.3,3259.7,2808.7,2659.7,2123.6,1834.5,1630.5,1348.3,1137.6,931.5,858.8,794.8
河北省,17112.2,16406.7,16450.8,13938,13600.9,12904.1,12778,12332.3,11519.5,11476.9,11178.4,10919.7,10275.5,8470.5,7164.4,6981.5,5849.5,4771.9,4123.9,3467.9,2922.7,2467.7,2293.5,2146.7
山西省,11940.1,12667.1,10892.5,7440.2,7402.9,7074.5,6635.3,5113.6,5219.7,6378,6684.3,6852.7,6750.2,5349.6,4091.2,4389,3602.3,2799.3,2389.5,1931.6,1520.7,1134.3,956,858.4
内蒙古自治区,11130.4,10916.8,9646.5,6789.7,6774,6335.4,5874.2,5579.8,5269.5,5114.4,4870.1,4553.6,4044,3420.5,2916,2555.1,2122.7,1722.4,1377.8,1041.2,840.9,754.8,655.7,582.6
辽宁省,11104.8,10924.1,10664.9,9294.3,9510.3,9049,8328.9,7865.7,8344.6,9038.8,9204.2,8886.9,8478.7,7181.8,6539.3,6273.1,5060.2,4060.7,3443.9,2957.8,2841,2599.7,2431.5,2336.1
吉林省,4426.9,4274.9,4713.7,4337.3,4162,4051.5,3995.5,3901.4,3837.8,3804.9,3572.1,3315.2,2931.4,2485.8,2055.1,1788,1477.7,1097.2,1002.4,903.4,805.7,793.5,747.5,675.7
黑龙江省,4205.4,4549.5,4082.3,3454.7,3668,3536,3519.5,3689.7,3926.9,4872.4,5202.7,5099.8,4916.3,4146.1,3668.1,3935,3383,2998,2656.4,2270.3,1956.4,1728.3,1665.9,1633.4
上海市,11542.9,11386.4,11425.4,10356.7,10317.1,10360.8,9525.9,8570.2,8408.7,8633.3,8286.5,8174.1,8169.3,7434.9,6184.8,6215.5,5677.5,4929.2,4314.9,3872.2,3239.6,2635.3,2413.8,2215.8
江苏省,57329.8,55343.4,53575.8,45391.4,44281.4,42129.4,39124.1,35041.5,33371.8,31048.8,29149.4,27150.8,25231.2,21853.6,18667.2,17051.1,14497.4,11991.1,10234.1,8325.8,6787.1,5604.5,4907.5,4435.9
浙江省,33586.1,32873.3,31370.7,26638.2,26643.3,25308.1,23246.7,21571.2,20606.5,19580.7,18162.8,17040.5,16271,14140.9,11882.4,11512.7,10122.7,8295.7,6953.7,6160.4,5126.3,4112.9,3590.1,3287.1
安徽省,18734.9,17697,16925.5,15286.7,14895.9,14094.4,12681.2,11517.5,10838.3,10982.6,10233.4,9247.9,8189.1,6396,4918.7,4194.5,3371.8,2653.2,2197.4,1846.2,1557.6,1347.3,1258.2,1062.2
福建省,23502.8,22470,22434.5,19509.7,19578.6,18847.8,16290,14683.7,13735.7,13165.1,11805.5,10527,9316.6,7705.3,6129.1,5387,4521.8,3629.7,3095.9,2738.7,2329.7,2029.2,1796.7,1622.3
江西省,13115.7,12832.9,12559.3,10631.7,10385.3,10081.2,9444.6,8732.5,8367.7,8238.7,7661.9,6893.3,6338,5083.1,3882.7,3518.8,2950.3,2337.6,1834.7,1505.2,1204.3,941.8,786.1,700.8
山东省,38055.9,36037.2,34084,29008,28464.9,27523.7,26925.6,25565,24814.9,23588,22615.9,21275.9,19926.1,17733.1,15919.7,14911.5,12529.4,10568.5,8841.1,7327.6,5720,5037.6,4466.7,4120.2
河南省,23097.7,22122.5,22571,21416.6,22185.5,21446.8,20035.3,18140.6,17141.3,16582.3,15464.1,14528.2,13533.9,11768.6,9975.3,9319.4,7696.5,6198.6,5063.6,4080.7,3348.6,2881.6,2497.7,2282.5
湖北省,20750.3,19948.5,19241.3,16359.6,18397.1,17573.9,15713.9,14527,13569.5,13007.9,11846.3,11152.6,9766.1,7748.3,6035.5,5066.2,4128.9,3270.8,2758.8,2273.5,1949.8,1704.4,1569.3,1432.8
湖南省,18639.2,17519.8,17325.9,15577.3,14974.8,13904.1,13459.8,12942,12665.7,11825.1,10913.8,9926.7,8883.6,7034.7,5494.7,4870,3867.4,3030.7,2490.2,2135.6,1772.3,1523.5,1412.8,1293.2
广东省,52679.5,51341.4,49977.2,43756.4,43528.6,41398.5,38536.6,35499.2,33913.8,31930.4,29343,27346.1,26161.1,22917.4,19439.7,18519.4,16022.6,13158,11049.2,9191.7,7684.4,6209.1,5564.7,5042.8
广西壮族自治区,8979.8,8867.3,8523.3,7067.6,6870.3,6692.9,6138.3,5621,5391,5145.6,4709.3,4503.1,4241.2,3465.2,2715.3,2466,2074,1604.7,1324.3,1151.1,955.1,844.8,769.2,730.9
海南省,1403.4,1281.4,1233.1,1074.6,1095.6,1053.1,996.4,904,882.9,826.5,750.9,747.2,671.3,528.6,432.4,412.6,354.3,291.6,229.8,199.6,175.8,148.9,133.8,104
重庆市,11199.1,10477.4,10679.5,9646,9059.8,8842.2,8455,7765.4,7208,6774.6,5988.6,5308.1,4571.3,3624.1,3016.8,2651.8,2237.3,1873.4,1559.2,1392.6,1164.1,981.3,859.9,774.6
四川省,21879.1,20314,20016.5,17594.8,17202.7,16056.9,14569.2,13450.1,13192.5,13082.7,12418.9,11231.1,10014.4,8283.2,6653.2,5766.5,4607.7,3658.1,2961.2,2439.7,2020.5,1733.4,1572,1433.1
贵州省,6638.5,6360.7,6351.8,5881.1,5836.6,5506.2,4970.9,4468.7,4026.7,3582.4,3171,2716.8,2258.9,1820.7,1574.9,1437.7,1187.2,953,797.9,667,570.7,482,433.5,391.2
云南省,10021.4,9985.8,9535.2,8427.8,8152.1,7267.5,6317.8,5747.4,5491.7,5376.5,5000.5,4458.4,3811.4,3267.7,2605.4,2476.1,2057.4,1674.2,1387.3,1267.8,1059.8,942.1,871.4,836.2
西藏自治区,858.7,770.2,748.4,708,638.8,582.7,469.6,390.4,341.8,310.3,270.8,226.1,195.6,155,130.1,110.8,95.2,76.1,60.5,51.3,47.5,32.7,32,27.1
陕西省,13937.3,14264.7,12963.3,10721.1,11590.2,11215.3,10114.1,8906.5,8664.6,9045,8418,7612.3,6484.3,5071.5,4017.5,3666.1,2865.9,2271,1807.8,1506.1,1221.2,1007.6,878.8,782.6
甘肃省,4148.6,3981.5,3531.6,2891.9,2914.2,2761.6,2515.7,2483.5,2505.4,2823.3,2674,2493.3,2288.6,1910.4,1473.2,1429.9,1254.1,972.5,772.2,680.3,572.2,501.7,458.1,421.7
青海省,1636.5,1618.7,1389.7,1157.5,1172,1093.7,975.7,867.7,761.1,714.8,681,620.2,553.1,444.2,365.7,350.3,275.3,228.1,190.3,154.4,132.2,113,96.1,80.9
宁夏回族自治区,2329,2318.6,2036.6,1604.8,1588,1488.1,1406,1179.7,1116.8,1113.7,1059.5,992.5,919.8,733.4,593,558.1,422,321.9,259.8,232.6,191.8,153.1,135.9,121.4
新疆维吾尔自治区,7559.7,7312.7,6281.3,4798.5,4824.9,4657.2,4096.2,3446.1,3446.1,3829.3,3479.9,3325.9,3093.4,2479.8,1846,1991.8,1588.5,1409.8,1127.1,887.1,700.3,589.2,560.5,525
注：按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。,,,,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,